Quantity,Designator,Description,Case/Package,Supplier 1,JLCPCB,Manufacturer 1,Manufacturer Part Number 1,Name

"1","C12","Cap Aluminum Lytic 150uF 6.3V 20% (6.3 X 5.8mm) SMD 230mA 2000h 105C Automotive T/R","Radial","Mouser","C445282","Nichicon","UUD0J151MCL1GS","UUD0J151MCL1GS"
"1","L3","2.2uH ±10% 2.45A 60mO SMD,3.0x3.0x1.5mm Power Inductors RoHS","","Mouser","C43389","TDK","VLS3015CX-2R2M-1","SWPA3015S2R2MT"
"1","B5","Switch Slide SPDT Side Slide 0.01A 5VDC 100000Cycles Gull Wing SMD T/R","SMD/SMT","Mouser","","Alps Electric","SSAL120100","SSAL220100"
"1","D1","SEMTECH - SRV05-4.TCT - ESD Protection Device, TVS, 17.5 V, SOT-23, 6 Pins, 5 V, 300 W","SOT-23","Mouser","C13612","Semtech","SRV05-4.TCT","SRV05-4.TCT"
"1","U4","2.5MHz 1.0A Synchronous Step Down Regulator in SOT23-5","SOT-23-5","Mouser","","Semtech","SC4626ZSKTRT","SC4626ZSKTRT"
"1","L2","NeoPixel Addressable 1515 LEDs (1.5mm x 1.5mm) - 10 pack","","Mouser","","Adafruit Industries","4492","NeoPixel 1515"
"1","U3","SOT-23-5 Power Distribution Switches ROHS","","Mouser","C89855","Diodes","AP2161DWG-7","MT9700"
"1","U5","MCP73832 Series Single-Cell Li-Ion/Li-Polymer Battery Charge Controller SOT-23-5","SOT-23","Mouser","","Microchip","MCP73832T-2ACI/OT","MCP73832T-2ACI/OT"
"1","B3","3.7VWire Lead Term Rechargeable Lithium Battery Pack For Power Supply, 2000mAh","","Eckstein","","MIKROE","MIKROE-1120","LiPo Akku"
"1","D2","5V 5.6V Bidirectional 18.6V 9.4A (8/20us) SOD-523 ESD Protection Devices ROHS","SOD-523","Mouser","C383211","MCC","ESD5V0D5B-TP","LESD5D5.0CT1G"
"1","L4","LED Uni-Color Red 630nm 2-Pin Chip LED T/R","0603","Digi-Key","C2286","Wurth Electronics","150060RS55040","KT-0603R"
"1","B4","Switch Tactile N.O. SPST Button Gull Wing 0.05A 32VDC 1VA 200000Cycles 2N SMD Automotive T/R","","Mouser","C221747","ITT C&K","KMR221NGLFS","KMR221NGLFS"
"1","CN1","CML 1769 LMP T-1 3/4 INC Midget Screw .2A 2.5V Part of the VCC Family of Products","","Mouser","","Adafruit Industries","1769","JST-PH-2"
"1","U6","3.08V Power Supply Supervisor","SOT-23","Mouser","C7899","STMicroelectronics","STM810TWX6F","IMP810TEUR/T"
"1","B1","SWITCH TACTILE SPST-NO 0.05A 12V","","Mouser","C388883","Panasonic","EVQP7C01P","EVQP7C01P"
"1","U1","2.4 GHz WiFi, (802.11 b/g/n) and Bluetooth 5 module, Built around ESP32-C3, RISCV, singlecore, 4 MB flash, 15 GPIOs, Onboard","","Mouser","","Espressif Systems","ESP32-C3-WROOM-02-N4","ESP32-C3-WROOM-02"
"4","C3, C11, C13, C14","SAMSUNG ELECTRO-MECHANICS - CL31A106KBHNNNE - SMD Multilayer Ceramic Capacitor, 10 µF, 50 V, 1206 [3216 Metric], ± 10%, X5R, CL Series","1206","Mouser","C13585","Samsung","CL31A106KACLNNC","CL31A106KBHNNNE"
"2","C5, C6","Ceramic capacitor SMD-0603 22pF /50V NP0# J +-5%, Samsung, RoHS","0603","Mouser","C1653","Samsung","CL10C220JB8NNNC","CL10C220JB8NNNC"
"3","C15, C17, C18","Ceramic capacitor SMD 0603 4.7 µF 16 V 10 %","0603","Mouser","C19666","Samsung","CL10A475KO8NNNC","CL10A475KO8NNNC"
"2","C4, C10","Cap Ceramic 1uF 50V X5R 10% SMD 0603 85C Cardboard T/R","0603","Mouser","C15849","Samsung","CL10A105KB8NNNC","CL10A105KB8NNNC"
"6","C1, C2, C7, C8, C9, C16","Cap Ceramic 0.1uF 50V X7R 10% SMD 0603 125C Paper T/R","0603","Mouser","C14663","Samsung","CL10B104KB8NNWC","CC0603KRX7R9BB104"
"2","T1, T2","Trans MOSFET N-CH 50V 0.22A 3-Pin SOT-23 T/R","SOT-23-3","Mouser","C52895","ON Semiconductor / Fairchild","BSS138W","BSS138"
"1","U2","Pressure, Temperature and Humidity Sensor Digital Output 1.8V 8-Pin LGA","LGA","Mouser","","Bosch Tools","BME680","BME680"
"2","D4, D5","Rectifier Diode Schottky 20V 3A 2-Pin SMA T/R / DIODE SCHOTTKY 20V 3A SMA","SMA","Mouser","C110484","Diodes","B320AQ-13-F","B320A-13-F"
"1","R18","±0.1% 1/16W ±25ppm/? 2.5kO 0603 Chip Resistor - Surface Mount ROHS","0603","Mouser","C304065","Bourns","CRT0603-BY-2491ELF","AR03BTC2501"
"1","B2","Switch Tactile N.O. SPST Square Button Gull Wing 0.05A 12VDC 0.98N SMD Bulk","SMD/SMT","Mouser","","APEM","ADTSM644KV","ADTSM644KV"
"1","CN2","USB Type - Connector, Mid-mount, SMT, CH-0.52, 16pos","","Mouser","","Molex","216990-0001","216990-0001"
"5","R3, R4, R7, R16, R21","CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/4W 1206 ROHS","1206","Mouser","C17888","Yageo","RC1206FR-070RL","1206W4F0000T5E"
"2","R10, R17","5.6kO ±1% 0.1W ±100ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","Mouser","C23189","Panasonic","ERJU03F5601V","0603WAF5601T5E"
"2","R5, R6","5.1kO ±1% 0.1W ±100ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","Mouser","C23186","Panasonic","ERJU03F5101V","0603WAF5101T5E"
"3","R1, R8, R19","470O ±1% 0.1W ±100ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","Mouser","C23179","Panasonic","ERJU03F4700V","0603WAF4700T5E"
"1","R20","22kO ±1% 0.1W ±200ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","Mouser","C31850","Panasonic","ERJU03F2202V","0603WAF2202T5E"
"1","R2","10kO ±1% 0.1W ±100ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","Mouser","C25804","Panasonic","ERJU03F1002V","0603WAF1002T5E"
"3","R12, R14, R15","100O ±1% 0.1W ±200ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","Mouser","C22775","Panasonic","ERJU03F1000V","0603WAF1000T5E"
"2","R9, R22","100kO ±1% 0.0625W ±100ppm/? 0402 Chip Resistor - Surface Mount RoHS","0402","Mouser","C25741","Panasonic","ERJ-2RKF1003X","0402WGF1003TCE"
"3","L1, L6, L7","LED Uni-Color Green 518nm 2-Pin Chip LED T/R","0603","Mouser","C72043","Wurth Electronics","150060GS84000","19-217/GHC-YR1S2/3T"
"1","L5","SMD LED yellow 1.7. . .2.3 V 0603, 19-213/Y2C-CQ2R2L/3T, Everlight Electronics","0603","Mouser","C72038","Wurth Electronics","150060YS55040","19-213/Y2C-CQ2R2L/3T"
