Altium Designer Pick and Place Locations
C:\Users\sandro.pedrett\AppData\Local\Temp\Releases\Snapshot\1\Fabrication\Pick Place\Pick Place for Mainboard.csv

========================================================================================================================
File Design Information:

Date:       14/03/22
Time:       23:29
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R10","0603WAF5601T5E","TopLayer","UNIROYAL_RES0603","-625.435","1457.000","90","5.6kO ±1% 0.1W ±100ppm/? 0603 Chip Resistor - Surface Mount RoHS"
"B5","SSAL220100","TopLayer","SSAL220100-Footprint-1","547.504","2110.000","90","Switch Slide SPDT Side Slide 0.01A 5VDC 100000Cycles Gull Wing SMD T/R"
"T2","BSS138","TopLayer","ONSEMI_SOT23-3","-52.000","1447.441","270","Trans MOSFET N-CH 50V 0.22A 3-Pin SOT-23 T/R"
"U6","IMP810TEUR/T","TopLayer","SOT95P240X110-3N","235.000","1445.000","90","3.08V Power Supply Supervisor"
"R22","0402WGF1003TCE","TopLayer","UNIROYAL_RES0402","78.000","1450.000","0","100kO ±1% 0.0625W ±100ppm/? 0402 Chip Resistor - Surface Mount RoHS"
"R21","1206W4F0000T5E","TopLayer","UNYROYAL_RES1206","-879.000","1717.000","0","CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/4W 1206 ROHS"
"C1","CC0603KRX7R9BB104","TopLayer","SAMSUNG_CAPC0603","-1020.632","1565.504","90","Cap Ceramic 0.1uF 50V X7R 10% SMD 0603 125C Paper T/R"
"B4","KMR221NGLFS","TopLayer","KSC441G70SHLFS-Footprint-1","-857.000","1565.000","180","Switch Tactile N.O. SPST Button Gull Wing 0.05A 32VDC 1VA 200000Cycles 2N SMD Automotive T/R"
"B3","MIKROE-1120","BottomLayer","MIKROE-1120-Footprint-1","-2073.626","-149.973","0","3.7VWire Lead Term Rechargeable Lithium Battery Pack For Power Supply, 2000mAh"
"D1","SRV05-4.TCT","TopLayer","SEMTECH_SOT23-6L","-517.865","677.165","0","SEMTECH - SRV05-4.TCT - ESD Protection Device, TVS, 17.5 V, SOT-23, 6 Pins, 5 V, 300 W"
"D2","LESD5D5.0CT1G","TopLayer","LRC_SOD-523","-61.339","799.000","270","5V 5.6V Bidirectional 18.6V 9.4A (8/20us) SOD-523 ESD Protection Devices ROHS"
"CN2","216990-0001","TopLayer","216990-0001-Footprint-1","-518.504","409.449","0","USB Type - Connector, Mid-mount, SMT, CH-0.52, 16pos"
"U5","MCP73832T-2ACI/OT","TopLayer","MICOCHIP_SOT23-5","56.939","704.724","180","MCP73832 Series Single-Cell Li-Ion/Li-Polymer Battery Charge Controller SOT-23-5"
"U4","SC4626ZSKTRT","TopLayer","SOT95P240X145-5N","326.624","2326.341","90","2.5MHz 1.0A Synchronous Step Down Regulator in SOT23-5"
"U3","MT9700","TopLayer","AEROSEMI_SOT23-5","-517.000","1435.000","270","SOT-23-5 Power Distribution Switches ROHS"
