Name,Description,Case/Package,Designator,Quantity,JLCPCB,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1

"216990-0001","USB Type - Connector, Mid-mount, SMT, CH-0.52, 16pos","","CN2","1","","Molex","216990-0001","Mouser","538-216990-0001"
"BME680","Pressure, Temperature and Humidity Sensor Digital Output 1.8V 8-Pin LGA","LGA","U2","1","","Bosch Sensortec","BME680","",""
"ESP32-C3-WROOM-02","2.4 GHz WiFi, (802.11 b/g/n) and Bluetooth 5 module, Built around ESP32-C3, RISCV, singlecore, 4 MB flash, 15 GPIOs, Onboard","","U1","1","","Espressif Systems","ESP32-C3-WROOM-02-N4","Mouser","356-ESP32C3WROOM02N4"
"MCP73832T-2ACI/OT","MCP73832 Series Single-Cell Li-Ion/Li-Polymer Battery Charge Controller SOT-23-5","SOT-23","U5","1","","Microchip","MCP73832T-2ACI/OT","Mouser","579-MCP73832T-2ACIOT"
"MIKROE-1120","3.7VWire Lead Term Rechargeable Lithium Battery Pack For Power Supply, 2000mAh","","B3","1","","mikroElektronika","MIKROE-1120","Mouser","932-MIKROE-1120"
"S2B-XH-A(LF)'SN)","XH Series 2.5mm 2 Position Through Hole Shrouded Header Connector","","CN1","1","","JST","S2B-XH-A(LF)'SN)","Digi-Key","455-2257-ND"
"SSAL220100","Switch Slide SPDT Side Slide 0.01A 5VDC 100000Cycles Gull Wing SMD T/R","SMD/SMT","B5","1","","Alps Electric","SSAL220100","",""
"CL10C220JB8NNNC","Ceramic capacitor SMD-0603 22pF /50V NP0# J +-5%, Samsung, RoHS","0603","C5, C6","2","C1653","Samsung","CL10C220JB8NNNC","Digi-Key","1276-1023-1-ND"
"KT-0603R","LED Uni-Color Red 630nm 2-Pin Chip LED T/R","0603","L4","1","C2286","","","",""
"IMP810TEUR/T","3.08V Power Supply Supervisor","SOT-23","U6","1","C7899","IMP","IMP810TEURT","",""
"CL31A106KBHNNNE","SAMSUNG ELECTRO-MECHANICS - CL31A106KBHNNNE - SMD Multilayer Ceramic Capacitor, 10 µF, 50 V, 1206 [3216 Metric], ± 10%, X5R, CL Series","1206","C3, C11, C13, C14","4","C13585","Samsung","CL31A106KBHNNNE","Farnell","3013512"
"SRV05-4.TCT","SEMTECH - SRV05-4.TCT - ESD Protection Device, TVS, 17.5 V, SOT-23, 6 Pins, 5 V, 300 W","SOT-23","D1","1","C13612","Semtech","SRV05-4.TCT","LCSC","C13612"
"CC0603KRX7R9BB104","Cap Ceramic 0.1uF 50V X7R 10% SMD 0603 125C Paper T/R","0603","C1, C2, C7, C8, C9, C16","6","C14663","Yageo","CC0603KRX7R9BB104","Mouser","603-CC603KRX7R9BB104"
"CL10A105KB8NNNC","Cap Ceramic 1uF 50V X5R 10% SMD 0603 85C Cardboard T/R","0603","C4, C10","2","C15849","Samsung","CL10A105KB8NNNC","Digi-Key","1276-1860-1-ND"
"1206W4F0000T5E","CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/4W 1206 ROHS","1206","R3, R4, R7, R8, R16, R21","6","C17888","Uniroyal","1206W4F0000T5E","LCSC","C17888"
"CL10A475KO8NNNC","Ceramic capacitor SMD 0603 4.7 µF 16 V 10 %","0603","C15, C17, C18","3","C19666","Samsung","CL10A475KO8NNNC","Digi-Key","1276-1784-1-ND"
"0603WAF1000T5E","100O ±1% 0.1W ±200ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","R12, R14, R15","3","C22775","Uniroyal","0603WAF1000T5E","LCSC","C22775"
