Altium Designer Pick and Place Locations
C:\Users\sandro.pedrett\AppData\Local\Temp\Releases\Snapshot\1\Fabrication\Pick Place\Pick Place for Mainboard.csv

========================================================================================================================
File Design Information:

Date:       09/06/22
Time:       17:28
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"Q2","BSO604NS2XUMA1","TopLayer","INF-PG-DSO-8-25_L","865.362","1597.000","0","55V, Dual N-Ch, 35 m? max, Automotive MOSFET, SO8, OptiMOS™, PG-DSO-8-7, RoHS"
"R26","100kO","TopLayer","RESC2013X60X35ML10T20","516.000","1481.000","270","Chip Resistor, 100 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"R25","100kO","TopLayer","RESC2013X60X35ML10T20","643.000","1482.000","90","Chip Resistor, 100 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"U3","MCP73871-1CCI/ML","TopLayer","QFN-ML20_L","275.591","1250.000","270","USB/AC Battery Charger with Power Path Management 20 QFN 4x4x0.9mm TUBE RoHS Compliant: Yes"
"SB3","Solderbridge","TopLayer","UNIROYAL_RES0603","19.685","1289.370","0","CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/4W 0603 ROHS"
"SB2","Solderbridge","TopLayer","UNIROYAL_RES0603","19.685","1220.472","0","CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/4W 0603 ROHS"
"SB1","Solderbridge","TopLayer","UNIROYAL_RES0603","295.692","1423.409","270","CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/4W 0603 ROHS"
"R12","0603WAF1103T5E","TopLayer","UNIROYAL_RES0603","233.268","1525.591","0","110kO ±1% 0.1W ±100ppm/? 0603 Chip Resistor - Surface Mount RoHS"
"R11","10kO","TopLayer","RESC1609X50X30NL8T20","207.109","1423.408","90","Chip Resistor, 10 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R10","10kO","TopLayer","RESC1609X50X30NL8T20","216.535","1072.835","270","Chip Resistor, 10 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R9","1kO","TopLayer","RESC1608X55X30LL15T15","275.591","1072.835","270",""
"R8","0603WAF3303T5E","TopLayer","UNIROYAL_RES0603","363.189","1525.591","0","330kO ±1% 0.1W ±100ppm/? 0603 Chip Resistor - Surface Mount RoHS"
"R7","0603WAF1001T5E","TopLayer","UNIROYAL_RES0603","157.480","701.535","0","1kO ±1% 0.1W ±100ppm/? 0603 Chip Resistor - Surface Mount RoHS"
"C12","CL10A475KO8NNNC","TopLayer","SAMSUNG_CAPC0603","354.331","1072.834","90","Ceramic capacitor SMD 0603 4.7 µF 16 V 10 %"
"T1","NDS0610-G","TopLayer","ONSEMI_SOT23-3","757.874","1899.606","90","P-Channel Enhancement Mode Field Effect Transistor 60V 0.12A 10Ohm 3-Pin SOT-23 Surface Mount T/R"
"R6","CRCW0402665KFKED","TopLayer","UNIROYAL_RES0402","954.724","1791.339","180","665kO ±1% 0.0625W ±100ppm/? 0402 Chip Resistor - Surface Mount RoHS"
"R5","0402WGF1003TCE","TopLayer","UNIROYAL_RES0402","905.512","2007.874","180","100kO ±1% 0.0625W ±100ppm/? 0402 Chip Resistor - Surface Mount RoHS"
"R4","0402WGF1003TCE","TopLayer","UNIROYAL_RES0402","856.299","1870.079","90","100kO ±1% 0.0625W ±100ppm/? 0402 Chip Resistor - Surface Mount RoHS"
"Q1","NST847BDP6T5G","TopLayer","ONSEMI_SOT-963-6","935.039","1929.134","90","NST847BDP6T5G Series 45 V 100 mA Dual NPN General Purpose Transistor - SOT-963"
"M2","M3 Mountinghole","TopLayer","8M_Screw_Hole-Footprint-1","-1033.465","1358.268","0","M3 Mountinghole"
"M1","M3 Mountinghole","TopLayer","8M_Screw_Hole-Footprint-1","1033.465","1358.268","0","M3 Mountinghole"
"C13","CL10A226KQ8NRNE","TopLayer","SAMSUNG_CAPC0603","946.850","1850.394","0","Ceramic capacitor SMD-0603 22uF /50V NP0# J +-5%, Samsung, RoHS"
"C8","CL31A106KBHNNNE","TopLayer","SAMSUNG_CAPC1206","510.996","1279.630","180","SAMSUNG ELECTRO-MECHANICS - CL31A106KBHNNNE - SMD Multilayer Ceramic Capacitor, 10 µF, 50 V, 1206 [3216 Metric], ± 10%, X5R, CL Series"
